Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"
C12orf75	Q8TAD7	"Predicted intracellular proteins"				1.0	38.1
C12orf76		"Predicted intracellular proteins, Predicted membrane proteins"				0.7	16.3
C13orf42	A0A1B0GVH6	"Predicted intracellular proteins"				0.2	0.4
C13orf46	A0A1B0GUA9	"Predicted intracellular proteins"				0.0	0.0
C14orf119	Q9NWQ9	"Predicted intracellular proteins"				15.4	10.1
C14orf132	Q9NPU4	"Predicted membrane proteins"				0.0	8.6
C14orf180	Q8N912	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.3
C14orf28	Q4W4Y0	"Predicted intracellular proteins"				0.0	4.1
C14orf39	Q8N1H7	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"				0.0	188.3
C14orf93	Q9H972	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"No annotated function"		0.2	16.1
C15orf39	Q6ZRI6	"Predicted intracellular proteins"				0.9	0.1
C15orf40	Q8WUR7	"Predicted intracellular proteins"				2.2	33.4
C15orf48	Q9C002	"Predicted intracellular proteins"				0.0	1.6
C15orf61	A6NNL5	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted - unknown location"	"No annotated function"		1.8	27.1
C15orf62	A8K5M9	"Predicted intracellular proteins"				0.0	0.1
C16orf46	Q6P387	"Predicted intracellular proteins"				0.0	0.0
C16orf54	Q6UWD8	"Predicted membrane proteins"				0.2	0.0
C16orf74	Q96GX8	"Predicted intracellular proteins"				1.5	1.6
C16orf78	Q8WTQ4	"Predicted intracellular proteins"				0.0	0.1
C16orf82		"Predicted intracellular proteins"				0.0	0.0
C16orf86	Q6ZW13	"Predicted intracellular proteins"				0.0	2.3
C16orf87	Q6PH81	"Predicted intracellular proteins"				0.3	45.5
C16orf89	Q6UX73	"Predicted secreted proteins"	"Secreted to blood"	"No annotated function"	3800000	0.0	2.4
C16orf90	A8MZG2	"Predicted intracellular proteins"				0.0	0.0
C16orf91	Q4G0I0	"Predicted membrane proteins"				0.2	2.7
C16orf92	Q96LL3	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.1
C16orf95	Q9H693	"Predicted intracellular proteins"				4.4	15.3
C16orf96	A6NNT2	"Predicted intracellular proteins"				0.0	2.6
C17orf100	A8MU93	"Predicted intracellular proteins"				0.0	0.2
C17orf107	Q6ZR85	"Predicted intracellular proteins"				1.5	0.0
C17orf113	A0A1B0GUU1	"Predicted membrane proteins"				0.2	0.0
C17orf114	A0A1B0GUV1	"Predicted intracellular proteins"				0.0	4.1
C17orf49	Q8IXM2	"Essential proteins, Predicted intracellular proteins"				0.0	0.1
C17orf50	Q8WW18	"Predicted intracellular proteins"				0.0	0.1
C17orf58	Q2M2W7	"Essential proteins, Predicted intracellular proteins"				0.0	1.7
C17orf67	Q0P5P2	"Predicted secreted proteins"	"Secreted to blood"	"No annotated function"		0.0	4.1
C17orf75	Q9HAS0	"Plasma proteins, Predicted intracellular proteins"				1.5	18.5
C17orf78	Q8N4C9	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.2
C17orf80	Q9BSJ5	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	35.6
C17orf97	Q6ZQX7	"Predicted intracellular proteins"				0.0	0.0
C17orf98	A8MV24	"Predicted intracellular proteins"				0.0	0.0
C17orf99	Q6UX52	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Cytokine		6.3	0.1
C18orf21	Q32NC0	"Essential proteins, Predicted intracellular proteins"				4.6	6.5
C18orf25	Q96B23	"Predicted intracellular proteins"				7.9	191.0
C18orf32	Q8TCD1	"Disease related genes, Predicted membrane proteins"				0.4	8.1
C18orf54	Q8IYD9	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in male reproductive system"	"No annotated function"		3.0	0.3
C18orf63	Q68DL7	"Predicted intracellular proteins"				0.0	0.4
C19orf12	Q9NSK7	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	60.7
C19orf18	Q8NEA5	"Predicted membrane proteins"				0.2	47.1
C19orf25	Q9UFG5	"Predicted intracellular proteins"				0.1	38.6
C19orf33	Q9GZP8	"Predicted intracellular proteins"			170000	0.1	0.1
C19orf38	A8MVS5	"Predicted membrane proteins"				0.7	4.1
C19orf44	Q9H6X5	"Predicted intracellular proteins"				0.5	13.0
C19orf47	Q8N9M1	"Predicted intracellular proteins"	"Intracellular and membrane"	"No annotated function"		3.0	21.7
C19orf53	Q9UNZ5	"Essential proteins, Predicted intracellular proteins"				22.6	2.9
C19orf54	Q5BKX5	"Predicted intracellular proteins"				2.0	7.4
C19orf67	A6NJJ6	"Predicted intracellular proteins"				0.0	0.0
C19orf73	Q9NVV2	"Predicted intracellular proteins"				0.2	0.1
C19orf81	C9J6K1	"Predicted intracellular proteins"				0.0	0.6
C19orf84	I3L1E1	"Predicted intracellular proteins"				0.0	0.0
C19orf85	A0A1B0GUS0	"Predicted intracellular proteins"				0.0	0.0
C1D	Q13901	"Predicted intracellular proteins"				15.9	44.4
C1GALT1	Q9NS00	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			28000	8.6	58.3
C1GALT1C1	Q96EU7	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"			12000	0.0	0.1
C1GALT1C1L	P0DN25	"Predicted intracellular proteins"				0.0	0.2
C1orf100	Q5SVJ3	"Predicted intracellular proteins"				0.0	0.6
C1orf105	O95561	"Predicted intracellular proteins"				0.1	6.9
C1orf109	Q9NX04	"Essential proteins, Predicted intracellular proteins"				1.4	12.8
C1orf112	Q9NSG2	"Predicted intracellular proteins"				0.5	37.6
C1orf115	Q9H7X2	"Predicted intracellular proteins"				0.0	0.3
C1orf116	Q9BW04	"Predicted intracellular proteins"			62000	1.7	0.1
C1orf122	Q6ZSJ8	"Predicted intracellular proteins"				7.9	15.5
C1orf127		"Predicted intracellular proteins"				0.0	30.7
C1orf131	Q8NDD1	"Essential proteins, Predicted intracellular proteins"				13.6	17.1
C1orf141	Q5JVX7	"Predicted intracellular proteins"				0.2	0.4
C1orf146	Q5VVC0	"Predicted intracellular proteins"				0.0	6.4
C1orf159	Q96HA4	"Predicted intracellular proteins, Predicted membrane proteins"				1.5	17.2
C1orf162	Q8NEQ5	"Predicted membrane proteins"				7.6	11.3
C1orf167	Q5SNV9	"Predicted intracellular proteins"				0.2	3.5
C1orf174	Q8IYL3	"Predicted intracellular proteins"				4.6	6.9
C1orf185	Q5T7R7	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.4
C1orf198	Q9H425	"Predicted intracellular proteins"			39000	1.8	6.4
C1orf21	Q9H246	"Predicted intracellular proteins"				1.5	1766.3
C1orf210	Q8IVY1	"Predicted membrane proteins"				0.0	0.0
C1orf216	Q8TAB5	"Predicted intracellular proteins"				0.0	5.2
C1orf226	A1L170	"Predicted intracellular proteins"				0.0	0.0
C1orf232	A0A0U1RR37	"Predicted intracellular proteins"				0.0	0.0
C1orf35	Q9BU76	"Predicted intracellular proteins"				7.8	7.0
C1orf43	Q9BWL3	"Predicted intracellular proteins, Predicted membrane proteins"				7.9	58.9
C1orf50	Q9BV19	"Predicted intracellular proteins"				0.0	0.1
C1orf52	Q8N6N3	"Predicted intracellular proteins"				2.8	40.6
C1orf53	Q5VUE5	"Predicted intracellular proteins"				0.0	1.4
C1orf54	Q8WWF1	"Predicted secreted proteins"	"Secreted to blood"	"No annotated function"		0.0	12.5
C1orf56	Q9BUN1	"Predicted secreted proteins"	"Secreted to blood"	"No annotated function"	8100000	3.9	18.2
C1orf68	Q5T750	"Predicted intracellular proteins"			190000	0.0	0.0
C1orf74	Q96LT6	"Predicted intracellular proteins"				0.0	0.1
C1orf87	Q8N0U7	"Predicted intracellular proteins"				0.0	0.5
C1orf94	Q6P1W5	"Predicted intracellular proteins"				0.0	0.1
C1QA	P02745	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	4400000000	0.0	0.0
C1QB		"Human disease related genes, Predicted membrane proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"		10.1	0.1
C1QBP	Q07021	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Secreted to blood"	"Complement pathway"	1500000	7.2	9.5
C1QC	P02747	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	5900000000	2.1	0.1
C1QL1	O75973	"Plasma proteins, Predicted secreted proteins"	"Secreted in brain"	"Complement pathway"		0.0	0.0
C1QL2	Q7Z5L3	"Predicted secreted proteins, Transporters"	"Secreted in brain"	"Complement pathway"		0.0	0.0
C1QL3	Q5VWW1	"Predicted secreted proteins"	"Secreted in brain"	"Complement pathway"		0.0	7.5
C1QL4	Q86Z23	"Predicted secreted proteins"	"Secreted in brain"	"Complement pathway"		0.0	0.0
C1QTNF1	Q9BXJ1	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	35000	0.0	0.2
C1QTNF12	Q5T7M4	"Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"		0.2	0.6
C1QTNF2	Q9BXJ5	"Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"		0.0	0.3
C1QTNF3	Q9BXJ4	"Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	13000000	0.0	0.0
C1QTNF4	Q9BXJ3	"Predicted secreted proteins"	"Secreted in brain"	Cytokine		0.0	0.0
C1QTNF5	Q9BXJ0	"Disease related genes, Human disease related genes, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	580000	0.0	0.0
C1QTNF6	Q9BXI9	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"		0.0	7.5
C1QTNF7	Q9BXJ2	"Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"		0.2	4.6
C1QTNF8	P60827	"Predicted secreted proteins"	"Secreted - unknown location"	"Complement pathway"		0.0	0.1
C1QTNF9	P0C862	"Predicted secreted proteins, Transporters"	"Secreted to blood"	"Complement pathway"	45000	0.0	0.0
C1QTNF9B	B2RNN3	"Predicted secreted proteins"	"Secreted - unknown location"	"Complement pathway"		0.0	0.1
C1R		"Human disease related genes, Predicted intracellular proteins"				0.0	0.0
C1RL	Q9NZP8	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	3600000000	0.0	0.0
C1S	P09871	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	27000000000	0.3	89.0
C2	P06681	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	14000000000	0.0	0.0
C20orf141	Q9NUB4	"Predicted membrane proteins"				0.0	0.0
C20orf144	Q9BQM9	"Predicted intracellular proteins"				0.0	1.1
C20orf173	Q96LM9	"Predicted intracellular proteins"				0.0	0.0
C20orf202	A1L168	"Predicted intracellular proteins"				0.0	0.0
C20orf203	Q8NBC4	"Predicted intracellular proteins"				0.0	0.0
C20orf204	A0A1B0GTL2	"Predicted intracellular proteins"				0.0	0.9
C20orf27	Q9GZN8	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"	78000	8.5	1.0
C20orf85	Q9H1P6	"Predicted intracellular proteins"				0.0	0.0
C20orf96	Q9NUD7	"Predicted intracellular proteins"				0.0	2.1
C21orf140	B9A014	"Predicted intracellular proteins"				0.0	0.0
C21orf58	P58505	"Predicted intracellular proteins"				13.3	11.3
C21orf62	Q9NYP8	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted - unknown location"	"No annotated function"		0.0	0.4
C21orf91	Q9NYK6	"Predicted intracellular proteins"				1.7	9.9
C22orf15	Q8WYQ4	"Predicted intracellular proteins"				0.0	0.1
C22orf23	Q9BZE7	"Predicted intracellular proteins"				0.0	4.9
C22orf31	O95567	"Predicted intracellular proteins"				0.0	0.2
C22orf39	Q6P5X5	"Predicted intracellular proteins"	"Intracellular and membrane"	"No annotated function"		3.1	0.5
C22orf42	Q6IC83	"Predicted intracellular proteins"				0.0	0.0
C2CD2	Q9Y426	"Predicted intracellular proteins"				0.1	8.6
C2CD2L	O14523	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	3.2
C2CD3	Q4AC94	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				5.5	47.3
C2CD4A	Q8NCU7	"Predicted intracellular proteins"				0.0	0.1
C2CD4B	A6NLJ0	"Predicted intracellular proteins"				0.0	0.0
C2CD4C	Q8TF44	"Predicted intracellular proteins"				0.0	0.0
C2CD4D	B7Z1M9	"Predicted intracellular proteins"				0.0	0.0
C2CD5	Q86YS7	"Predicted intracellular proteins"				6.4	128.8
C2CD6	Q53TS8	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	44.8
C2orf15	Q8WU43	"Predicted intracellular proteins"				0.0	0.0
C2orf16		"Predicted membrane proteins"				0.0	0.5
C2orf42	Q9NWW7	"Predicted intracellular proteins"				0.0	28.4
C2orf49	Q9BVC5	"Predicted intracellular proteins"				1.8	21.3
C2orf50	Q96LR7	"Predicted intracellular proteins"				0.0	0.1
C2orf66		"Predicted secreted proteins"	"Secreted - unknown location"			0.0	0.2
C2orf68	Q2NKX9	"Predicted intracellular proteins"				0.6	41.3
C2orf69	Q8N8R5	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Intracellular and membrane"	Transport		4.9	35.2
C2orf72	A6NCS6	"Predicted intracellular proteins"				0.0	0.1
C2orf73	Q8N5S3	"Predicted intracellular proteins"				0.0	1.0
C2orf74	A8MZ97	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.2
C2orf76	Q3KRA6	"Predicted intracellular proteins"				0.1	28.2
C2orf78	A6NCI8	"Predicted intracellular proteins"				0.0	0.0
C2orf80	Q0P641	"Predicted intracellular proteins"				0.0	0.1
C2orf81	A6NN90	"Essential proteins, Predicted intracellular proteins"				0.0	0.0
C2orf88	Q9BSF0	"Predicted intracellular proteins"			62000	27.1	87.7
C2orf92	A0A1B0GVN3	"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins"				1.5	36.1
C3	P01024	"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	370000000000	0.0	0.7
C3AR1	Q16581	"G-protein coupled receptors, Predicted membrane proteins"				0.3	0.3
C3orf14	Q9HBI5	"Predicted intracellular proteins"				0.2	0.2
C3orf18	Q9UK00	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	6.4
C3orf20	Q8ND61	"Predicted intracellular proteins"				0.0	6.6
C3orf22	Q8N5N4	"Predicted intracellular proteins"				0.0	2.4
C3orf33	Q6P1S2	"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"		0.0	1.4
C3orf38	Q5JPI3	"Predicted intracellular proteins"				5.0	32.8
C3orf49	Q96BT1	"Essential proteins, Predicted intracellular proteins"				2.9	32.6
C3orf52	Q5BVD1	"Predicted membrane proteins"				0.0	0.6
C3orf56	Q8N813	"Predicted intracellular proteins"				0.0	0.0
C3orf62	Q6ZUJ4	"Predicted intracellular proteins"				1.8	15.5
C3orf70	A6NLC5	"Cancer-related genes, Predicted intracellular proteins"				0.0	0.4
C3orf80	F5H4A9	"Predicted membrane proteins"				0.0	0.0
C3orf84	H3BNL1	"Predicted intracellular proteins"				0.0	0.6
C3orf85	A0A1B0GTC6	"Predicted intracellular proteins"			2700000	0.0	0.2
C4A	P0C0L4	"Blood group antigen proteins, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	230000000000	0.0	0.0
C4B	P0C0L5	"Blood group antigen proteins, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	230000000000	0.0	0.0
C4BPA	P04003	"Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	40000000000	0.0	15.6
C4BPB	P20851	"Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	1900000000	0.0	2.6
C4orf17	Q53FE4	"Predicted intracellular proteins"				0.0	0.3
C4orf19	Q8IY42	"Predicted intracellular proteins"				4.5	61.4
C4orf3	Q8WVX3	"Predicted membrane proteins, Transporters"				2.9	9.3
C4orf33	Q8N1A6	"Predicted intracellular proteins"				3.3	13.7
C4orf36	Q96KX1	"Predicted intracellular proteins"				0.0	5.5
C4orf45	Q96LM5	"Predicted intracellular proteins"				7.2	39.0
C4orf46	Q504U0	"Predicted intracellular proteins"				0.0	5.2
C4orf47	A7E2U8	"Predicted intracellular proteins"				0.0	5.2
C4orf48	Q5BLP8	"Predicted secreted proteins"	"Secreted to blood"	Other	110000	0.5	0.0
C4orf50		"Predicted intracellular proteins"				0.0	0.1
C4orf51	C9J302	"Predicted intracellular proteins"				0.0	7.4
C4orf54	D6RIA3	"Disease related genes, Predicted intracellular proteins"				0.0	53.6
C5	P01031	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Complement pathway"	43000000000	0.2	1.2
C5AR1	P21730	"CD markers, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.7	7.0
C5AR2	Q9P296	"G-protein coupled receptors, Predicted membrane proteins"				0.2	0.1
C5orf15	Q8NC54	"Predicted membrane proteins"				1.5	32.4
C5orf22	Q49AR2	"Predicted intracellular proteins"				0.8	25.8
C5orf24	Q7Z6I8	"Predicted intracellular proteins"				3.0	23.9
C5orf34	Q96MH7	"Predicted intracellular proteins"				0.1	4.6
